snow_depth,date
9.8,1900-06-05
10.8,1900-06-06
10.8,1900-06-07
11.466666666666667,1900-06-08
11.933333333333334,1900-06-09
12.933333333333334,1900-06-10
13.333333333333334,1900-06-11
13.133333333333333,1900-06-12
12.333333333333334,1900-06-13
13.266666666666667,1900-06-14
14.333333333333334,1900-06-15
14.666666666666666,1900-06-16
15.2,1900-06-17
15.866666666666667,1900-06-18
16.4,1900-06-19
16.6,1900-06-20
17.066666666666666,1900-06-21
21.6,1900-06-22
24.066666666666666,1900-06-23
24.8,1900-06-24
26.6,1900-06-25
25.6,1900-06-26
25.533333333333335,1900-06-27
26.466666666666665,1900-06-28
27.6,1900-06-29
31.0,1900-06-30
34.4,1900-07-01
38.53333333333333,1900-07-02
40.13333333333333,1900-07-03
40.93333333333333,1900-07-04
44.6,1900-07-05
47.06666666666667,1900-07-06
49.6,1900-07-07
52.4,1900-07-08
53.6,1900-07-09
56.2,1900-07-10
61.06666666666667,1900-07-11
62.53333333333333,1900-07-12
66.0,1900-07-13
67.73333333333333,1900-07-14
71.66666666666667,1900-07-15
70.46666666666667,1900-07-16
69.33333333333333,1900-07-17
71.6,1900-07-18
72.93333333333334,1900-07-19
72.53333333333333,1900-07-20
75.8,1900-07-21
74.4,1900-07-22
74.53333333333333,1900-07-23
76.46666666666667,1900-07-24
77.13333333333334,1900-07-25
78.46666666666667,1900-07-26
80.2,1900-07-27
80.6,1900-07-28
79.26666666666667,1900-07-29
78.73333333333333,1900-07-30
78.33333333333333,1900-07-31
79.4,1900-08-01
81.93333333333334,1900-08-02
83.46666666666667,1900-08-03
84.86666666666666,1900-08-04
88.4,1900-08-05
89.73333333333333,1900-08-06
92.53333333333333,1900-08-07
99.6,1900-08-08
103.2,1900-08-09
103.13333333333334,1900-08-10
105.06666666666666,1900-08-11
104.53333333333333,1900-08-12
105.53333333333333,1900-08-13
103.46666666666667,1900-08-14
102.13333333333334,1900-08-15
101.6,1900-08-16
103.6,1900-08-17
108.26666666666667,1900-08-18
111.6,1900-08-19
115.13333333333334,1900-08-20
116.46666666666667,1900-08-21
118.33333333333333,1900-08-22
118.93333333333334,1900-08-23
117.06666666666666,1900-08-24
116.86666666666666,1900-08-25
121.73333333333333,1900-08-26
120.86666666666666,1900-08-27
119.33333333333333,1900-08-28
117.73333333333333,1900-08-29
115.2,1900-08-30
113.4,1900-08-31
112.33333333333333,1900-09-01
109.4,1900-09-02
107.46666666666667,1900-09-03
104.8,1900-09-04
103.26666666666667,1900-09-05
102.93333333333334,1900-09-06
105.6,1900-09-07
105.93333333333334,1900-09-08
103.2,1900-09-09
101.46666666666667,1900-09-10
98.8,1900-09-11
95.8,1900-09-12
92.8,1900-09-13
90.66666666666667,1900-09-14
90.2,1900-09-15
89.8,1900-09-16
87.86666666666666,1900-09-17
85.86666666666666,1900-09-18
82.86666666666666,1900-09-19
80.6,1900-09-20
78.06666666666666,1900-09-21
74.73333333333333,1900-09-22
69.73333333333333,1900-09-23
66.73333333333333,1900-09-24
66.53333333333333,1900-09-25
66.0,1900-09-26
65.46666666666667,1900-09-27
63.733333333333334,1900-09-28
54.06666666666667,1900-09-29
49.13333333333333,1900-09-30
39.86666666666667,1900-10-01
35.266666666666666,1900-10-02
32.666666666666664,1900-10-03
27.266666666666666,1900-10-04
26.0,1900-10-05
26.133333333333333,1900-10-06
23.4,1900-10-07
18.2,1900-10-08
9.8,1900-10-09
